City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chapais,CA,49.7834,-74.8492,31.78,99,100,7.76,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,42.46,81,75,27.63,light rain
2,Mar Del Plata,AR,-38.0023,-57.5575,69.1,64,0,18.41,clear sky
3,Damavand,IR,35.7178,52.065,23.86,67,0,4.43,clear sky
4,Saint-Philippe,RE,-21.3585,55.7679,80.19,74,18,5.06,few clouds
5,Cape Town,ZA,-33.9258,18.4232,65.37,54,89,13.0,overcast clouds
6,Khatanga,RU,71.9667,102.5,-14.3,95,97,14.5,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,78.26,69,100,4.9,overcast clouds
8,Busselton,AU,-33.65,115.3333,84.74,38,0,8.95,clear sky
9,Tiksi,RU,71.6872,128.8694,-9.15,94,100,9.57,overcast clouds
10,East London,ZA,-33.0153,27.9116,59.94,82,40,6.91,scattered clouds
11,Millbrook,US,32.4799,-86.3619,58.35,71,0,6.91,clear sky
12,Souillac,MU,-20.5167,57.5167,79.18,73,40,2.3,scattered clouds
13,Cabo San Lucas,MX,22.8909,-109.9124,69.51,75,48,4.0,scattered clouds
14,Tuktoyaktuk,CA,69.4541,-133.0374,-2.2,78,100,6.91,overcast clouds
15,Oranjemund,NA,-28.55,16.4333,59.59,76,0,8.81,clear sky
16,Micheweni,TZ,-4.9667,39.8333,80.78,76,79,9.44,broken clouds
17,Kapaa,US,22.0752,-159.319,75.18,89,100,11.5,overcast clouds
18,Wagar,SD,16.1525,36.2032,66.31,76,0,7.54,clear sky
19,Carnarvon,AU,-24.8667,113.6333,88.79,38,0,15.39,clear sky
20,Bluff,NZ,-46.6,168.3333,56.37,58,31,10.42,scattered clouds
21,Rawson,AR,-43.3002,-65.1023,62.87,62,95,11.92,overcast clouds
22,Kindu,CD,-2.95,25.95,66.36,98,100,2.68,overcast clouds
23,Vestmannaeyjar,IS,63.4427,-20.2734,21.22,63,4,20.27,clear sky
24,Hermanus,ZA,-34.4187,19.2345,56.8,59,91,17.43,overcast clouds
25,Sorland,NO,67.667,12.6934,39.06,66,100,28.7,light rain
26,Charters Towers,AU,-20.1,146.2667,93.04,24,84,7.92,broken clouds
27,Hilo,US,19.7297,-155.09,73.26,85,40,5.75,scattered clouds
